"STATEFIP","YEAR","POPULATION","SPHSERVICE","CMPSERVICE","OPISERVICE","RTCSERVICE","IJSSERVICE","Missing","Trauma/Stress-related Disorder","Anxiety Disorder","ADHD","Conduct Disorder","Delirium/Dementia","Bipolar Disorder","Depressive Disorder","Oppositional Defiant Disorder","Pervasive Developmental Disorders","Personality Disorders","Schizophrenia or other Psychotic Disorders","Alcohol/Substance Use Disorders","Other Disorder/Condition","CODE"
"Missouri",2014,74670,1512,73401,8,166,46,2802,6154,4546,5503,418,80,17578,21222,1081,429,386,13471,2,998,29
"Montana",2014,43792,859,43241,4539,684,5,5022,6625,4613,2689,295,1155,4750,9905,1646,1362,530,3128,819,1253,30
"Nebraska",2014,22578,467,20611,2934,119,4,1681,2603,1150,728,116,43,5399,6334,223,79,129,3145,0,948,31
"Nevada",2014,30358,4438,27733,1,137,1,3780,2060,1668,442,320,34,6758,7446,117,103,26,5253,1778,573,32
"New Jersey",2014,324940,3621,308024,11733,4759,27,74699,40255,19695,11559,3433,2551,26632,61212,5936,2316,2061,30106,19347,25138,34
"New Mexico",2014,93300,836,92209,1572,743,1,6314,21759,7480,6632,1649,947,9782,15480,1490,1030,181,5669,6745,8142,35
"New York",2014,53505,9970,46797,1,2,16598,1324,5880,2413,1557,304,0,9523,8795,338,0,2489,19950,0,932,36
"North Carolina",2014,219448,2876,217801,327,32,4,7599,24040,18684,15393,6202,1830,46274,61116,10688,9,1495,22349,0,3769,37
"North Dakota",2014,14533,446,14533,2895,81,325,1702,1380,1678,841,177,109,1660,3628,120,192,95,1576,2,1373,38
"Ohio",2014,372965,6547,370817,8,2480,18,11754,56696,29221,38717,13132,665,52876,84345,12198,4412,1395,29170,29813,8571,39
"Oklahoma",2014,79751,1425,78107,3195,497,444,7615,8438,5104,2655,1241,33,15956,24389,1265,410,66,8545,0,4034,40
"Oregon",2014,120564,1498,119000,5503,2899,7,41664,24297,8061,10203,823,439,5299,16212,1498,966,291,6921,1,3889,41
"Pennsylvania",2014,615570,2152,614514,3,2,6,132985,48458,29742,55251,11399,5191,68006,107455,11605,24729,711,34573,73950,11515,42
"Rhode Island",2014,30732,470,30550,0,0,1,11668,2858,1852,1314,559,52,4172,5608,229,166,30,1958,33,233,44
"South Carolina",2014,80982,2000,80156,0,30,180,2708,7381,4411,9830,2502,188,12239,19115,2437,488,910,15231,2091,1451,45
"South Dakota",2014,14817,1440,13597,0,0,0,74,3466,1054,1257,267,199,1820,3520,366,184,8,1639,78,885,46
"Tennessee",2014,111265,7645,109753,2134,155,7,5927,8268,9896,5117,1089,479,26789,34016,1376,445,365,11567,6,5925,47
"Texas",2014,324439,14357,322131,13139,241,7,90663,5634,2781,21379,2899,303,72400,72211,2541,814,487,47317,0,5010,48
"Utah",2014,48567,633,48075,1808,650,2198,6315,5383,6662,1320,880,610,7170,11303,970,1563,457,4930,0,1004,49
"Vermont",2014,24613,0,24574,1,1381,2,6078,5821,2161,1458,294,70,1554,4004,267,377,91,1250,12,1176,50
"Virginia",2014,112577,4635,111460,0,0,1,5767,11074,12057,10438,2876,992,18370,22862,2849,0,4360,15829,0,5103,51
"Washington",2014,70456,2884,62341,10697,105,13,5425,10437,5822,1908,1193,297,10043,18890,501,167,362,14174,853,384,53
"Wisconsin",2014,100684,5457,97758,4461,2815,13,9024,11593,7841,3645,507,774,15246,24223,627,507,981,14996,1396,9324,55
"Wyoming",2014,17142,266,16882,0,0,367,437,3160,1889,1080,461,55,2163,4979,438,205,203,941,0,1131,56
"Puerto Rico",2014,21387,1996,18074,1521,82,1,21333,2,1,31,3,0,0,5,1,5,0,2,0,4,72
"Other Jurisdiction",2014,182,6,182,0,0,0,107,5,1,4,0,3,6,15,0,0,0,24,14,3,99
"Alabama",2015,101582,1180,101102,2042,72,5,277,7441,5188,13299,2914,639,16897,28054,1802,978,44,17529,2472,4048,1
"Arizona",2015,155122,287,154895,17177,231,9,22,23991,16751,15086,2473,109,36936,33191,1197,3895,375,18155,145,2796,4
"Arkansas",2015,69398,893,68963,2064,404,1,3843,8591,6724,3103,3071,149,12520,17547,2022,133,140,8307,4,3244,5
"California",2015,695815,10953,656093,27088,8994,45654,4660,72536,53062,22677,23354,2030,109278,171357,14037,6529,3051,121390,36770,55084,6
"Colorado",2015,130537,1539,126393,3,2607,7,22589,19245,13739,6491,731,112,13565,31401,1878,718,565,9583,4280,5640,8
"Connecticut",2015,90524,1237,89515,391,1523,4,27955,8930,5123,2134,1236,275,12126,16904,859,1073,401,10790,425,2293,9
"Delaware",2015,9680,472,9116,1474,194,1,1090,1052,233,209,171,34,1913,1637,184,84,7,1833,1022,211,10
"District of Columbia",2015,28531,697,27385,1379,113,2,2111,1642,592,1473,277,27,4272,11014,222,27,32,5332,1029,481,11
"Florida",2015,230652,5274,227046,4414,6555,3308,53235,21424,11283,12731,2176,183,39892,53391,1828,461,242,30180,788,2838,12
"Hawaii",2015,10645,492,10486,93,131,1,765,2211,205,361,276,33,1280,2113,209,43,34,2872,102,141,15
"Idaho",2015,14425,1740,13793,1892,91,3,11149,53,15,26,10,2,389,262,9,7,941,272,96,1194,16
"Illinois",2015,130002,5743,124258,0,1,3,6,14715,9513,10858,1137,46,27885,40118,2262,35,198,17832,1,5396,17
"Indiana",2015,134121,1158,133413,1419,1834,3,829,12312,9756,14549,7802,133,18821,46368,5775,606,410,14697,0,2063,18
"Iowa",2015,116443,906,116092,8185,1182,3,19751,22973,11739,15119,3653,255,9268,20918,3308,1534,286,5229,966,1444,19
"Kentucky",2015,160096,6449,158228,0,0,4,4448,20797,15495,15424,6130,1138,26046,39373,4016,4825,605,11300,4832,5667,21
"Louisiana",2015,43831,1592,42412,0,0,1,2848,1374,1812,3282,558,0,9176,14395,480,212,295,7956,0,1443,22
"Maryland",2015,185306,1712,183486,14974,794,10,5030,27598,20474,24326,4619,341,29887,50617,3186,67,410,15041,141,3569,24
